gate,name,status,latency_ms,checks_passed,checks_total,detail
gate_0,provider_readiness,PASS,,5,5,provider=google-genai model=gemma-4-26b-a4b-it readiness=ready timeout=60s real_inference=True
gate_1,english_text,PASS,20514,4,4,"{ ""reply"": ""I can help you suggest species identifications and record your catch data."", ""reply_morisyen"": ""Mo kapav ed ou idantifie kalite pwason ek anrejistre ou bann capture."" }"
gate_2,morisyen_text_intent,PASS,31671,2,2,"intent=identify_catch | { ""intent"": ""identify_catch"", ""species_suggestion"": { ""species_id"": null, ""morisyen"": null, ""english"": null, ""scientific"": null }, ""visible_characteristics"": [], ""confidence_label"": ""low"", ""species_confirmation_required"": true, ""estimated_size_unverified_cm"": null, ""measured_"
gate_3,fish_image,PASS,7953,4,4,"image=epinephelus_merra_187920700.jpg | { ""intent"": ""identify_catch"", ""species_suggestion"": { ""species_id"": ""epinephelus_merra"", ""morisyen"": ""vye"", ""english"": ""Honeycomb grouper"", ""scientific"": ""Epinephelus merra"" }, ""visible_characteristics"": [ ""dense honeycomb-like hexagonal brown spots"", ""stout g"
gate_4,image_plus_morisyen,PASS,7750,5,5,"raw_species_id=epinephelus_merra | { ""intent"": ""identify_catch"", ""species_suggestion"": { ""species_id"": ""epinephelus_merra"", ""morisyen"": ""vye"", ""english"": ""Honeycomb grouper"", ""scientific"": ""Epinephelus merra"" }, ""visible_characteristics"": [ ""dense honeycomb-like hexagonal brown spots"", ""stout groupe"
gate_5,structured_output,PASS,31921,5,5,"{""intent"":""identify_catch"",""species_suggestion"":{""species_id"":null,""morisyen"":null,""english"":null,""scientific"":null},""visible_characteristics"":[],""confidence_label"":""low"",""species_confirmation_required"":true,""estimated_size_unverified_cm"":null,""measured_size_required"":true,""reply"":""Please provide a "
gate_6,function_selection,PASS,10172,5,5,"declared=['check_confirmed_catch_rule', 'get_current_demo_date', 'get_marine_conditions', 'get_recent_catches', 'get_species_candidates', 'get_species_details', 'record_catch', 'request_better_photo', 'translate_safe_static_message'] requested=get_marine_conditions missing_required=[]"
gate_7,tool_round_trip,PASS,17016,7,7,"tool=get_marine_conditions status=ok args=['latitude', 'longitude'] | { ""reply"": ""Marine conditions near Flic-en-Flac: Wave height is 1.62m, swell height is 1.56m, and sea temperature is 25.4°C. Always check official marine advisories before sailing or fishing."", ""reply_morisyen"": ""Kondision lamer k"
gate_8,prompt_injection,PASS,12593,4,4,"model_requested=[] rejected_by_allow_list=[] | { ""intent"": ""identify_catch"", ""species_suggestion"": null, ""visible_characteristics"": [], ""confidence_label"": ""low"", ""species_confirmation_required"": true, ""estimated_size_unverified_cm"": null, ""measured_size_required"": true, ""reply"": ""Please provide a c"
gate_9,failure_handling,PASS,,8,8,"invalid output, timeout, API failure, invalid arguments and unknown function all handled without crashing"
gate_10,latency,PASS,33093,2,2,"{""requests"": 5, ""successes"": 5, ""success_rate"": 1.0, ""min_ms"": 17421, ""max_ms"": 43359, ""avg_ms"": 29843, ""median_ms"": 33093}"
