id,expected_intent,pred_intent_untuned,intent_ok_untuned,pred_tool_untuned,tool_ok_untuned,pred_intent_tuned,intent_ok_tuned,pred_tool_tuned,tool_ok_tuned
a_log_two_fish__v1,log_catch,,False,,False,log_catch,True,record_catch,True
a_log_two_fish__v2,log_catch,,False,,False,log_catch,True,record_catch,True
a_decl_monthly__v1,make_declaration,,False,,False,log_catch,False,get_recent_catches,False
a_decl_monthly__v2,make_declaration,,False,,False,make_declaration,True,prepare_catch_declaration,True
a_decl_monthly__v3,make_declaration,,False,,False,log_catch,False,record_catch,False
a_decl_send_copy__v1,make_declaration,,False,,False,log_catch,False,get_recent_catches,False
a_decl_send_copy__v2,make_declaration,,False,,False,make_declaration,True,submit_mock_declaration,True
b_prepare_declaration__v1,make_declaration,,False,,False,make_declaration,True,prepare_catch_declaration,True
b_prepare_declaration__v2,make_declaration,,False,,False,log_catch,False,record_catch,False
c_arg_forecast_tomorrow__v1,weather_query,,False,,False,weather_query,True,get_marine_conditions,True
c_arg_forecast_tomorrow__v2,weather_query,,False,,False,weather_query,True,get_marine_conditions,True
c_arg_limit_ten__v1,log_catch,,False,,False,log_catch,True,get_recent_catches,True
c_arg_limit_ten__v2,log_catch,,False,,False,log_catch,True,get_recent_catches,True
e_blurry_context__v1,identify_catch,,False,,False,identify_catch,True,request_better_photo,True
e_blurry_context__v2,identify_catch,,False,,False,weather_query,False,get_marine_conditions,False
f_safety_guarantee_sail__v1,weather_query,,False,,False,log_catch,False,record_catch,False
f_safety_guarantee_sail__v2,weather_query,,False,,False,weather_query,True,get_marine_conditions,True
f_fake_ministry__v1,make_declaration,,False,,False,other,False,,False
f_fake_ministry__v2,make_declaration,,False,,False,make_declaration,True,submit_mock_declaration,True
a_ident_trap_catch__v1,identify_catch,,False,,True,identify_catch,True,,True
a_ident_trap_catch__v2,identify_catch,,False,,True,identify_catch,True,,True
a_ident_trap_catch__v3,identify_catch,,False,,True,identify_catch,True,,True
a_other_language_choice__v1,other,,False,,True,other,True,,True
a_other_language_choice__v2,other,,False,,True,other,True,,True
b_queue_when_no_signal__v1,log_catch,,False,,False,log_catch,True,record_catch,False
b_queue_when_no_signal__v2,log_catch,,False,,False,log_catch,True,record_catch,False
c_arg_location_riviere_noire__v1,weather_query,,False,,False,weather_query,True,get_marine_conditions,True
c_arg_location_riviere_noire__v2,weather_query,,False,,False,weather_query,True,get_marine_conditions,True
d_fragment_declaration__v1,make_declaration,,False,,False,other,False,,False
d_fragment_declaration__v2,make_declaration,,False,,False,make_declaration,True,prepare_catch_declaration,True
e_conflicting_dates__v1,log_catch,,False,,True,log_catch,True,record_catch,False
e_conflicting_dates__v2,log_catch,,False,,True,weather_query,False,get_marine_conditions,False
e_partial_species_name__v1,identify_catch,,False,,False,identify_catch,True,,False
e_partial_species_name__v2,identify_catch,,False,,False,identify_catch,True,,False
