config,config_label,repeat,case_id,group,has_image,mode,api_ok,error_type,raw_json_parsed,parsed_object_returned,native_schema_valid,exact_enum_valid,coercion_applied,coercion_fields,repair_applied,fallback_reason,final_schema_valid,safety_ok,expect_intent,got_intent,intent_ok,species_within_allow_list,latency_ms,image_preprocess_ms,prompt_tokens,output_tokens,thought_tokens,finish_reason
B,native_json_schema_minimal,0,en-reg-1,english_catch_registration,False,generate_content_json_schema,True,,False,False,False,False,False,,True,unparseable_output,False,,log_catch,,,,53530,0,714,,,FinishReason.RECITATION
B,native_json_schema_minimal,0,en-reg-2,english_catch_registration,False,generate_content_json_schema,True,,True,True,True,True,False,,False,,True,True,log_catch,identify_catch,False,True,3969,0,709,148,,FinishReason.STOP
B,native_json_schema_minimal,0,mfe-reg-1,morisyen_catch_registration,False,generate_content_json_schema,True,,False,False,False,False,False,,True,unparseable_output,False,,log_catch,,,,44563,0,718,1024,,FinishReason.MAX_TOKENS
B,native_json_schema_minimal,0,mfe-reg-2,morisyen_catch_registration,False,generate_content_json_schema,True,,True,True,True,True,False,,False,,True,True,log_catch,log_catch,True,True,3983,0,716,145,,FinishReason.STOP
B,native_json_schema_minimal,0,img-1,image_species_suggestion,True,generate_content_json_schema,True,,True,True,True,True,False,,False,,True,True,identify_catch,identify_catch,True,True,5264,62,964,180,,FinishReason.STOP
B,native_json_schema_minimal,0,img-2,image_species_suggestion,True,generate_content_json_schema,False,ServerError,False,False,False,False,False,,False,api_error,False,,identify_catch,,,,4062,16,,,,
B,native_json_schema_minimal,0,img-3,image_species_suggestion,True,generate_content_json_schema,True,,True,True,True,True,False,,False,,True,True,identify_catch,identify_catch,True,True,5202,16,963,180,,FinishReason.STOP
B,native_json_schema_minimal,0,img-mfe-1,image_plus_morisyen,True,generate_content_json_schema,True,,True,True,True,True,False,,False,,True,True,identify_catch,identify_catch,True,True,5562,0,976,188,,FinishReason.STOP
B,native_json_schema_minimal,0,img-mfe-2,image_plus_morisyen,True,generate_content_json_schema,True,,True,True,True,True,False,,False,,True,True,identify_catch,identify_catch,True,True,5078,0,974,173,,FinishReason.STOP
B,native_json_schema_minimal,0,lowq-1,low_quality_image,True,generate_content_json_schema,True,,True,True,True,True,False,,False,,True,True,,identify_catch,,True,3968,16,965,144,,FinishReason.STOP
B,native_json_schema_minimal,0,lowq-2,low_quality_image,True,generate_content_json_schema,True,,True,True,True,True,False,,False,,True,True,,identify_catch,,True,4514,31,963,156,,FinishReason.STOP
