gate,name,status,latency_ms,checks_passed,checks_total,detail
gate_1,english_text,PASS,5328,4,4,"intent=log_catch | { ""intent"": ""log_catch"", ""species_suggestion"": null, ""visible_characteristics"": [], ""confidence_label"": ""low"", ""species_confirmation_required"": true, ""estimated_size_unverified_cm"": null, ""measured_size_required"": true, """
gate_2,morisyen_text,PASS,4530,3,3,intent=log_catch
gate_3,weather_function_selection,PASS,8562,4,4,"chain=get_marine_conditions arg_names=['latitude', 'longitude']"
gate_4,tool_round_trip,PASS,10468,6,6,"tool=get_marine_conditions tool_ms=1781 | { ""reply"": ""The sea temperature is 25.1°C. Waves are around 1.46m with a swell of 1.36m. Please check official marine advisories before heading out."", ""reply_morisyen"": ""Temperatir lamer 25.1°C. Vag"
gate_5,image_analysis,PASS,7766,6,6,species=epinephelus_merra
gate_6,image_plus_morisyen,PASS,8750,3,3,raw_species=epinephelus_merra
gate_7,poor_image,PASS,5000,2,2,conf=low next=retake_photo
gate_8,prompt_injection,PASS,42719,3,3,calls=[]
gate_9,legal_rule_separation,PASS,4703,3,3,next=retake_photo
gate_10,mock_ministry_disclosure,PASS,7625,6,6,model_requested=['get_current_demo_date'] labels=MOCK DEMONSTRATION — NOT AN OFFICIAL GOV
